French,English
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
aucun,no
chaque,each
parlé,speak
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
leurs,their
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
vieux,old
tiens,here
tellement,so much
point,point
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
donne,given
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
